2026-07-03 15:42:21 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-07-03 15:42:21 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-07-03 15:42:21 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-07-03 15:42:21 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-07-03 15:42:21 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-07-03 15:42:22 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/TC001_open_browser] TC001_启动浏览器
2026-07-03 15:42:22 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-07-03 15:42:23 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-03 15:42:26 | INFO     | utils.common:66 | ✅ 断言通过：浏览器应在前台，期望包名 com.android.browser
2026-07-03 15:42:26 | INFO     | utils.common:66 | ✅ 断言通过：主页底部工具栏应存在 '工具' 按钮
2026-07-03 15:42:26 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-03 15:42:28 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '退出' 项
2026-07-03 15:42:28 | INFO     | core.ui_automator:217 | Waiting 2s
2026-07-03 15:42:30 | INFO     | utils.common:66 | ✅ 断言通过：退出后浏览器不应仍在前台，包名 com.android.browser
2026-07-03 15:42:30 | INFO     | core.app_controller:36 | Stopping app: com.android.browser
2026-07-03 15:42:30 | INFO     | tasks.framework.base_case:70 | << 用例结束 [手机浏览器/TC001_open_browser] TC001_启动浏览器 — 成功
2026-07-03 15:42:30 | INFO     | tasks.framework.runner:95 | --- APK 结束: 手机浏览器 - 通过 1/1 ---
2026-07-03 15:42:30 | INFO     | tasks.framework.runner:54 | ==================================================
2026-07-03 15:42:30 | INFO     | tasks.framework.runner:55 | 执行汇总：共 1 条，通过 1，失败 0
2026-07-03 15:42:30 | INFO     | tasks.framework.runner:58 |   [PASS] [browser/TC001_open_browser] TC001_启动浏览器
2026-07-03 15:42:30 | INFO     | tasks.framework.runner:59 | ==================================================
2026-07-03 15:42:34 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-07-03 15:42:34 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-07-03 15:42:34 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-07-03 15:42:34 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-07-03 15:42:34 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-07-03 15:42:35 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/TC002_open_url] TC002_打开指定网址
2026-07-03 15:42:35 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-07-03 15:42:36 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-03 15:42:39 | INFO     | core.ui_automator:217 | Waiting 1s
2026-07-03 15:42:40 | INFO     | core.ui_automator:132 | Clearing and inputting text: 'https://www.baidu.com'
2026-07-03 15:42:40 | INFO     | core.ui_automator:217 | Waiting 0.5s
2026-07-03 15:42:41 | INFO     | core.ui_automator:217 | Waiting 4s
