2026-07-02 10:44:45 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-07-02 10:44:45 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-07-02 10:44:45 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-07-02 10:44:45 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-07-02 10:44:45 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-07-02 10:44:46 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/TC001_open_browser] TC001_启动浏览器
2026-07-02 10:44:46 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-07-02 10:44:46 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-02 10:44:50 | INFO     | utils.common:66 | ✅ 断言通过：浏览器应在前台，期望包名 com.android.browser
2026-07-02 10:44:50 | INFO     | tasks.framework.base_case:70 | << 用例结束 [手机浏览器/TC001_open_browser] TC001_启动浏览器 — 成功
2026-07-02 10:44:50 | INFO     | tasks.framework.runner:95 | --- APK 结束: 手机浏览器 - 通过 1/1 ---
2026-07-02 10:44:50 | INFO     | tasks.framework.runner:54 | ==================================================
2026-07-02 10:44:50 | INFO     | tasks.framework.runner:55 | 执行汇总：共 1 条，通过 1，失败 0
2026-07-02 10:44:50 | INFO     | tasks.framework.runner:58 |   [PASS] [browser/TC001_open_browser] TC001_启动浏览器
2026-07-02 10:44:50 | INFO     | tasks.framework.runner:59 | ==================================================
2026-07-02 10:48:18 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-07-02 10:48:18 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-07-02 10:48:18 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-07-02 10:48:18 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
