2026-07-01 19:38:25 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-07-01 19:38:25 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-07-01 19:38:26 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/add_favorite] 添加收藏到收藏夹
2026-07-01 19:38:26 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-07-01 19:38:26 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-01 19:38:52 | INFO     | core.ui_automator:217 | Waiting 1s
2026-07-01 19:38:53 | INFO     | core.ui_automator:132 | Clearing and inputting text: '好看的视频'
2026-07-01 19:38:53 | INFO     | core.ui_automator:217 | Waiting 0.5s
2026-07-01 19:39:09 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-07-01 19:39:09 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-07-01 19:39:09 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-07-01 19:39:09 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-07-01 19:39:09 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-07-01 19:39:09 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/add_favorite] 添加收藏到收藏夹
2026-07-01 19:39:09 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-07-01 19:39:10 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-01 19:39:13 | INFO     | core.ui_automator:217 | Waiting 1s
2026-07-01 19:39:14 | INFO     | core.ui_automator:132 | Clearing and inputting text: '好看的视频'
2026-07-01 19:39:15 | INFO     | core.ui_automator:217 | Waiting 0.5s
2026-07-01 19:39:16 | INFO     | core.ui_automator:217 | Waiting 5s
2026-07-01 19:39:21 | INFO     | utils.common:66 | ✅ 断言通过：底部工具栏应存在 '工具' 按钮
2026-07-01 19:39:21 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 19:39:23 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '添加收藏' 项
2026-07-01 19:39:23 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 19:39:25 | INFO     | utils.common:66 | ✅ 断言通过：‘添加到…’对话框中应存在 ‘收藏’ 选项
2026-07-01 19:39:25 | INFO     | core.ui_automator:217 | Waiting 2s
2026-07-01 19:39:27 | INFO     | utils.common:66 | ✅ 断言通过：应能再次唤出工具菜单
2026-07-01 19:39:27 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 19:39:29 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '我的收藏' 项
2026-07-01 19:39:29 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-01 19:39:32 | INFO     | utils.common:66 | ✅ 断言通过：收藏夹中应包含关键词 '好看的视频'
2026-07-01 19:39:32 | INFO     | tasks.framework.base_case:70 | << 用例结束 [手机浏览器/add_favorite] 添加收藏到收藏夹 — 成功
2026-07-01 19:39:32 | INFO     | tasks.framework.runner:95 | --- APK 结束: 手机浏览器 - 通过 1/1 ---
2026-07-01 19:39:32 | INFO     | tasks.framework.runner:54 | ==================================================
2026-07-01 19:39:32 | INFO     | tasks.framework.runner:55 | 执行汇总：共 1 条，通过 1，失败 0
2026-07-01 19:39:32 | INFO     | tasks.framework.runner:58 |   [PASS] [browser/add_favorite] 添加收藏到收藏夹
2026-07-01 19:39:32 | INFO     | tasks.framework.runner:59 | ==================================================
2026-07-01 19:52:12 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-07-01 19:52:12 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-07-01 19:52:12 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-07-01 19:52:12 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-07-01 19:52:12 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-07-01 19:52:13 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/add_favorite] 添加收藏到收藏夹
2026-07-01 19:52:13 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-07-01 19:52:13 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-01 19:52:25 | INFO     | core.ui_automator:217 | Waiting 1s
2026-07-01 19:52:26 | INFO     | core.ui_automator:132 | Clearing and inputting text: '好看的视频'
2026-07-01 19:52:26 | INFO     | core.ui_automator:217 | Waiting 0.5s
2026-07-01 19:52:33 | INFO     | core.ui_automator:217 | Waiting 5s
2026-07-01 19:52:38 | INFO     | utils.common:66 | ✅ 断言通过：底部工具栏应存在 '工具' 按钮
2026-07-01 19:52:38 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 19:52:40 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '添加收藏' 项
2026-07-01 19:52:40 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 19:52:57 | ERROR    | utils.common:68 | ❌ 断言失败：‘添加到…’对话框中应存在 ‘收藏’ 选项
2026-07-01 19:52:57 | ERROR    | core.exception_handler:36 | Exception [assertion]: AssertionError: ‘添加到…’对话框中应存在 ‘收藏’ 选项
2026-07-01 19:52:57 | DEBUG    | core.exception_handler:37 | NoneType: None

2026-07-01 19:52:57 | INFO     | core.ui_automator:164 | Taking screenshot -> d:\ksdtool\toolksd_033206\APKAutomatedTesting\NaturalLangua\screenshots\error_20260701_195257.png
2026-07-01 19:52:57 | INFO     | core.exception_handler:46 | Error screenshot saved: d:\ksdtool\toolksd_033206\APKAutomatedTesting\NaturalLangua\screenshots\error_20260701_195257.png
2026-07-01 19:52:57 | ERROR    | tasks.framework.base_case:92 | 用例断言失败：添加收藏到收藏夹
2026-07-01 19:52:57 | INFO     | core.app_controller:36 | Stopping app: com.android.browser
2026-07-01 19:52:57 | INFO     | tasks.framework.base_case:70 | << 用例结束 [手机浏览器/add_favorite] 添加收藏到收藏夹 — 失败
2026-07-01 19:52:57 | INFO     | tasks.framework.runner:95 | --- APK 结束: 手机浏览器 - 通过 0/1 ---
2026-07-01 19:52:57 | INFO     | tasks.framework.runner:54 | ==================================================
2026-07-01 19:52:57 | INFO     | tasks.framework.runner:55 | 执行汇总：共 1 条，通过 0，失败 1
2026-07-01 19:52:57 | INFO     | tasks.framework.runner:58 |   [FAIL] [browser/add_favorite] 添加收藏到收藏夹
2026-07-01 19:52:57 | INFO     | tasks.framework.runner:59 | ==================================================
2026-07-01 19:55:20 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-07-01 19:55:20 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-07-01 19:55:20 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-07-01 19:55:20 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-07-01 19:55:20 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-07-01 19:55:21 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/add_favorite] 添加收藏到收藏夹
2026-07-01 19:55:21 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-07-01 19:55:21 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-01 19:55:25 | INFO     | core.ui_automator:217 | Waiting 1s
2026-07-01 19:55:26 | INFO     | core.ui_automator:132 | Clearing and inputting text: '好看的视频'
2026-07-01 19:55:26 | INFO     | core.ui_automator:217 | Waiting 0.5s
2026-07-01 19:55:27 | INFO     | core.ui_automator:217 | Waiting 5s
